Number_of_elements,Kernel_reps,Cuda_blocks,Threads_per_block,T_hosttodev,T_exec,T_devtohost,Bw_HosttoDev,Bw_DevtoHost,Bw_execution
32000000,16,864,233,0.009702,0.006525,0.011140,26387413622.127300,22979985245.294292,1255512215065.323975
32000000,16,864,234,0.009687,0.006468,0.011135,26425871914.123680,22990345226.340515,1266599182138.114258
32000000,16,864,235,0.009716,0.006492,0.011140,26348635890.549767,22980088387.113266,1261858419532.592773
32000000,16,864,236,0.009932,0.006410,0.011318,25776354088.147240,22619234956.269314,1277940917999.523682
32000000,16,864,237,0.009675,0.006500,0.011142,26460796165.170864,22976580043.992176,1260332898971.383545
32000000,16,864,238,0.009709,0.006464,0.011137,26366883444.821770,22986998881.198845,1267242432810.853516
32000000,16,864,239,0.009702,0.006472,0.009745,26385210674.406101,26269421022.194241,1265671217624.733643
32000000,16,864,240,0.010064,0.006344,0.009746,25436979483.482342,26266558573.400051,1291399017498.894043
32000000,16,864,241,0.009712,0.006460,0.009746,26359699718.735786,26268420986.693939,1268058259311.983154
32000000,16,864,242,0.010107,0.006397,0.009745,25328193021.537674,26270960326.808842,1280687569104.695557
32000000,16,864,243,0.009863,0.006463,0.010382,25954838978.721348,24658864825.752407,1267564793055.008057
32000000,16,864,244,0.009706,0.006333,0.010128,26375049289.150463,25277200050.619816,1293601614935.910156
32000000,16,864,245,0.009705,0.006434,0.010123,26377609287.398033,25288331430.081650,1273206448964.355469
32000000,16,864,246,0.009706,0.006405,0.010127,26375619942.766560,25278847413.220676,1279086652533.506592
32000000,16,864,247,0.010302,0.006439,0.009747,24849054125.561157,26265370112.871769,1272207924892.435547
32000000,16,864,248,0.009707,0.006331,0.009749,26374043903.902996,26258486695.153046,1293925264012.475830
32000000,16,864,249,0.009712,0.006421,0.009746,26359781151.364216,26268019371.963684,1275848906044.346680
32000000,16,864,250,0.009701,0.006367,0.009750,26389676772.763302,26255276569.998825,1286592782481.774902
32000000,16,864,251,0.010112,0.006412,0.009746,25315769732.106216,26266962839.789627,1277513838138.916260
32000000,16,864,252,0.009718,0.006325,0.010609,26343283654.774105,24131171772.942089,1295179708943.213867
32000000,16,864,253,0.009714,0.006449,0.010606,26355026711.992508,24136595778.147655,1270300462033.243896
32000000,16,864,254,0.009697,0.006382,0.010607,26399141613.820835,24136004125.053574,1283679748492.312744
32000000,16,864,255,0.009696,0.006457,0.011138,26401621885.290359,22985345673.435463,1268701617213.008057
32000000,16,864,256,0.009703,0.006386,0.010166,26384827245.214817,25182050986.459232,1282712937931.685547
32000000,16,864,257,0.009710,0.007231,0.009746,26364816969.864090,26265882137.434715,1132920381632.461914
32000000,16,864,258,0.010171,0.007172,0.009746,25170092313.815495,26267043700.443768,1142144418465.096680
32000000,16,864,259,0.010122,0.007198,0.009745,25292586317.056431,26270448104.241226,1138110675222.033691
32000000,16,864,260,0.009701,0.007154,0.009746,26387742732.454494,26266154329.258377,1145047717098.883789
32000000,16,864,261,0.009706,0.007203,0.009746,26375513954.179451,26266019570.904018,1137271533811.885010
32000000,16,864,262,0.009713,0.007169,0.009746,26357335873.890751,26267585431.622761,1142636043844.234375
32000000,16,864,263,0.009712,0.007220,0.009746,26360435296.682629,26266448086.674534,1134667370988.180908
32000000,16,864,264,0.009725,0.007140,0.009747,26323125202.308022,26264267985.161774,1147352112793.194336
32000000,16,864,265,0.009972,0.007214,0.009746,25672699950.516548,26266105818.052353,1135592235974.932373
32000000,16,864,266,0.009705,0.007164,0.009747,26377940872.364143,26265483296.355736,1143497488721.146973
32000000,16,864,267,0.009711,0.007180,0.009746,26362237736.407558,26266024963.172470,1140947234103.659180
32000000,16,864,268,0.009704,0.007105,0.009746,26380667264.735851,26266240567.487415,1152943954583.953857
32000000,16,864,269,0.010123,0.007219,0.009826,25289488073.874817,26054523769.731121,1134857725859.316162
32000000,16,864,270,0.009722,0.007163,0.009746,26331399379.830708,26267563869.804600,1143626953174.557129
32000000,16,864,271,0.010114,0.007205,0.009747,25310558579.680798,26264079360.752445,1137027971170.773193
